id	topic_name	parent_topic	true_id
243	Classic Parsing Methods	24	1094
244	CKY Parsing	24	1095
245	Earley Parsing	24	1096
246	Penn Treebank	24	1097
247	Parsing Evaluation	24	1562
251	Probabilistic Grammars	25	1098
252	Statistical Parsing	25	1099
253	Lexicalized Parsing	25	1280
254	Unlexicalized Parsing	25	1100
255	Dependency Syntax	25	1281
256	Introduction to Dependency Parsing	25	1282
257	Transition-based Dependency Parsing	25	1545
258	Evaluation of Dependency Parsing	25	1284
261	Alternative Syntactic Formalisms	26	1101
262	Features and Unification	26	1102
263	Tree Adjoining Grammar	26	1103
264	Combinatory Categorial Grammar	26	1104
271	NACLO Problems on Parsing	27	1105
281	NN Sequence Parsing	28	1106
282	Prepositional Phrase Attachment 1	28	1107
283	Prepositional Phrase Attachment 2	28	1536
284	Prepositional Phrase Attachment 3	28	1537
311	Text Similarity Intro	31	1108
312	Stemming	31	1109
313	Edit Distance	31	1110
314	Semantic Similarity	31	1111
315	Wordnet	31	1112
316	Thesaurus-based Similarity	31	1113
321	Vector Representations	32	1114
322	Vector Semantics	32	1115
341	Introduction to Dimensionality Reduction	34	1116
342	Text Kernels	34	1581
351	Entailment and Paraphrasing	35	1117
352	Collocations	35	1118
353	Lexical Acquisition	35	1119
361	Introduction to Semantics and Logic	36	1120
362	First Order Logic	36	1121
363	Knowledge Representation	36	1216
364	Inference	36	1217
365	Semantic Parsing	36	1218
367	Semantic Role Labeling	36	1220
381	Sentiment Analysis	38	1122
382	Sentiment Lexicons	38	1123
391	Introduction to Word Sense Disambiguation	39	1124
411	Question Answering Basics	41	1125
412	Evaluation of Question Answering	41	1126
413	QA Architecture and QA Systems 1	41	1127
414	QA Architecture and QA Systems 2	41	1128
421	Summarization 1	42	1129
422	Summarization 2	42	1130
423	Summarization 3	42	1131
424	Summarization 4	42	1132
425	Summarization Evaluation	42	1133
426	Sentence Simplification	42	1134
431	Natural Language Generation Basics	43	1135
432	Natural Language Generation Systems	43	1136
433	Natural Language Generation: Features and Unification	43	1137
441	Discourse Analysis	44	1138
442	Coherence and Prosody	44	1139
443	Discourse Parsing	44	1140
444	Dialogue	44	1141
445	Dialogue Systems	44	1142
451	Machine Translation Basics	45	1143
452	Machine Translation Techniques	45	1144
453	Noisy Channel Methods for Machine Translation	45	1145
454	The IBM Models	45	1146
455	Syntax-based Machine Translation	45	1147
456	Phrase Based Machine Translation, Evaluation	45	1148
457	Morphology and Semantics in Machine Translation	45	1149
511	Classification and kNN 1	51	1153
512	Classification and kNN 2	51	1154
513	Generative and Discriminative Models 1	51	1155
514	Generative and Discriminative Models 2	51	1156
515	Perceptron	51	1157
516	Logistic Regression 1	51	1158
517	Logistic Regression 2	51	1159
518	Log-Linear Models	51	1160
521	Introduction to Support Vector Machines and Kernels	52	1161
542	Examples of Text Classification	54	1162
543	Feature Selection	54	1163
544	Evaluation of Text Classification	54	1164
545	Practical Considerations of Classification	54	1165
571	Clustering 1	57	1167
572	Clustering 2	57	1168
581	Introduction to Semi Supervised Learning	58	1203
582	Structured Learning	58	1321
611	Introduction to Information Retrieval	61	1169
612	Search Engine Architecture	61	1170
613	Evaluation of Information Retrieval	61	1171
614	Toolkits for Information Retrieval	61	1172
622	Query Modification	62	1174
623	Random Walks and Harmonic Functions	62	1175
624	Semi Supervised Retrieval, Pagerank	62	1176
625	Search Engines	62	1177
631	Latent Variable Models	63	1178
632	Topic Modeling	63	1179
641	Introduction to Network Analysis	64	1180
711	Introduction to Neural Networks and Deep Learning	71	1181
712	Neural Architectures, Training Neural Networks	71	1182
713	Miscellaneous Deep Learning	71	1183
721	Word Embeddings	72	1186
723	Neural Sentence Representation	72	1188
731	Tools for Deep Learning	73	1189
741	Recurrent Neural Networks	74	1190
742	Long Short Term Memory Networks	74	1191
743	Recursive Neural Networks	74	1192
744	Convolutional Neural Networks	74	1193
745	Neural Attention and Memory	74	1194
751	Neural Language Modeling	75	1195
752	Neural Parsing	75	1196
753	Neural Machine Translation	75	1197
754	Neural Summarization	75	1198
755	Neural Question Answering	75	1199
756	Neural Generation, Dialogue Systems	75	1200
811	Introduction to AI	81	1300
812	Programming Languages	81	1301
813	Agent-based view of AI	81	1302
821	Problem solving and search	82	1303
822	Informed search	82	1304
823	Heuristic search	82	1305
824	Adversarial search	82	1306
825	Game playing	82	1307
826	Genetic algorithms	82	1308
827	Constraint satisfaction	82	1309
828	Planning	82	1310
829	Multi-agent systems	82	1311
831	Intro to Logic and Logical agents	83	1312
832	Predicate Logic	83	1325
833	First Order Logic (see topic 362)	83	1326
834	Inference (see topic 364)	83	1327
835	Knowledge representation (see topic 363)	83	1328
841	Intro to uncertainty	84	1329
842	Probabilistic reasoning (Bayesian Networks)	84	1330
843	Probabilistic reasoning over time (MDP)	84	1331
844	Particle filters	84	1332
851	Intro to learning	85	1333
852	Learning from examples	85	1334
855	Neural Networks (see topic 74)	85	1335
857	Reinforcement learning	85	1336
861	Intro to Communication and Perception	86	1337
862	Vision	86	1338
863	Speech	86	1339
871	Robotics	87	1340
872	Autonomous cars	87	1341
911	SyntaxNet	91	1206
921	Miscellaneous Projects	91	1207
941	Phonetics	94	1538
942	Computational Phonology	94	1540
943	Speech Signal Analysis	94	1541
944	Automatic Speech Recognition	94	1542
945	Text to Speech Generation	94	1543
946	Prosody	94	1544
951	NLP and Humor	95	1224
952	Language Identification	95	1226
953	Crowdsourcing	95	1227
954	Computational Social Science	95	1228
955	Arabic NLP	95	1229
956	Computer-Aided Translation	95	1230
957	Social Media Analysis	95	1231
958	NLP and Vision	95	1232
959	NLP and Bibliometrics	95	1233
960	Grammar and Spelling Correction	96	1250
961	Corpus Creation	96	1251
962	Speech Processing	96	1252
963	Chinese NLP	96	1253
964	Computational Psycholinguistics	96	1254
965	Authorship Attribution	96	1255
967	Graph-based NLP	96	1257
968	Language Acquisition	96	1258
969	NLP for Historical Texts	96	1259
970	Prior Knowledge	97	1260
971	Structured Sparsity	97	1261
972	Structured Prediction	97	1262
973	NLP for Biology	97	1150
974	NLP for Databases	97	1151
975	Readability	97	1152
976	Social Network Extraction	97	1546
977	Spelling Correction	97	1266
978	Domain Adaptation	97	1323
979	NLP for the Humanities	97	1324
980	Handwriting Recognition	98	1322
981	Financial Applications	98	1584
999	Others	99	9999
